ACO_Name,ACO_ID,year,ACO_State,Sav_Rate,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_HHA,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,P_EDV_Vis,P_EDV_Vis_HOSP,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,GenSaveLoss,FinalShareRate,P_SNF_ADM,QualScore,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,QualityID318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_236_WI,N_AB,N_PCP,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Other,N_Ben_Race_Hisp,N_Ben_Race_Asian,N_Ben_Race_White
Hackensack Alliance ACO,A1006,2022,,0.58,3476,3119,69,240,93,303,1510,645,260,243,1,10,553,214,13433,4246,7717,0,40.00%,79,83.28,,,,,,,,,,,,,,,81.23,85.71,89.29,78.71,80,92.66,21.28,6.35,78.86,30324,552.0,1241,*,1046,*,1241,24597
Hackensack Alliance ACO,A1006,2018,"NJ, NY",10.1345287,3243,2950,41,185,95,168,936,478,263,247,1,8,573,202,11551,3686,7176,49345826,44.68,61,0.8937,85.22,93.76,93.44,80.04,63.29,61.56,73.4,26.2,,,15.53,56.57,1.85,90.91,83.22,94.74,83.39,70.65,74.81,83.36,12.31,13.52,74.79,38660,483.0,1032,1442,2040,1442,1032,31484
NH Accountable Care Partners,A1021,2018,"NH, ME, MA",-0.08118729999999999,3609,3116,22,371,118,265,714,628,308,281,1,18,734,215,9443,2895,4092,0,43.76,57,0.8752,85.18,93.57,90.86,78.79,65.42,70.91,74.83,22.16,,,15.1,60.85,2.02,84.01,71.58,66.67,73.37,79.69,81.25,85.53,2.74,8.29,71.5,54981,1043.0,183,142,1611,142,183,52719
NH Accountable Care Partners,A1021,2019,"NH, MA",1.11,3534,3014,26,411,108,289,701,615,299,270,1,20,736,207,9843,2900,4063,0,46.0,56,92.17,87.4,94.57,92.42,80.44,63.5,63,78.17,20.98,94.1,87.63,15.29,64.16,2.15,88,76.52,72.73,77.97,79.75,78.57,78.79,4.41,9.22,78.67,37953,,,97,1174,97,,36337
"P3 Health Partners ACO, LLC",A1023,2021,,6.87,2457,2075,*,248,82,361,487,362,215,188,*,13,638,136,9424,1548,3893,3582129,40.00,36,70.63,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,5194,244.0,62,217,93,217,62,4369
"P3 Health Partners ACO, LLC",A1023,2022,,6.87,2457,2075,*,248,82,361,487,362,215,188,*,13,638,136,9424,1548,3893,3582129,40.00%,36,70.63,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,5194,244.0,62,217,93,217,62,4369
"Arizona Connected Care, LLC",A1023,2018,AZ,1.2312154,3140,2650,70,367,55,132,376,305,278,246,3,21,659,165,9553,2994,4180,0,42.92,39,0.8585,82.15,93.15,91.2,77.58,57.09,59.46,72.61,18.76,,,15.14,54.47,2.16,73.83,70.52,78.26,81.05,60.2,73.14,72.67,1.33,19,71.89,9817,258.0,99,413,324,413,99,8456
"Arizona Connected Care, LLC",A1023,2019,AZ,2.86,2887,2523,44,268,61,130,358,267,252,228,1,16,641,157,9284,1981,3964,1807914,49.0,34,98.09,82.93,94.33,92.51,78.72,63.78,66.17,70.81,23.76,92.89,85.65,14.47,50.47,1.56,80.2,66.55,86.49,78.3,65.1,73.04,71.15,5.65,15.25,70.33,13704,,,652,487,652,,11706
"Arizona Connected Care, LLC",A1023,2020,AZ,-2.04,2692,2323,86,288,35,315,390,333,230,207,2,16,493,141,8887,2003,3815,0,0.39,31,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.73,68.93,71.63,75.27,67.49,58.22,72.09,76.85,2.44,21.68,62.94,10146,245.0,95,342,356,342,95,8827
Atlantic ACO,A1026,2022,,1.75,3179,2811,27,306,60,165,784,353,244,226,0,14,494,190,11700,3851,6587,0,50.00%,53,83.32,,,,,,,,,,,,,,,80.93,64.29,71.13,81.11,79.19,81.45,1.92,11.92,77.63,40219,596.0,981,*,916,*,981,34538
Atlantic ACO,A1026,2018,NJ,0.7907546999999999,3400,3038,36,266,89,161,995,409,276,255,1,12,555,208,11144,4013,6319,0,45.17,70,0.9034,88.28,93.52,91.86,81.68,62.92,63.19,75.19,19.93,,,14.6,58.98,1.52,69.03,70.35,75,58.8,55.9,61.02,76.45,3.45,14.04,80.71,56362,491.0,1436,635,2657,635,1436,48733
Atlantic ACO,A1026,2020,NJ,2.4,3006,2664,30,275,74,301,983,373,249,231,1,12,440,199,10727,3774,5761,9463053,0.49,62,97.19,^,^,^,^,^,^,^,^,^,^,~,~,0.77,70.25,85,70.37,56.54,85.06,80.82,80.26,3.39,17.9,72.82,37348,499.0,751,448,1818,448,751,32322
Atlantic ACO,A1026,2021,,1.75,3179,2811,27,306,60,165,784,353,244,226,0,14,494,190,11700,3851,6587,0,50.00,53,83.32,,,,,,,,,,,,,,,80.93,64.29,71.13,81.11,79.19,81.45,1.92,11.92,77.63,40219,596.0,981,*,916,*,981,34538
Atlantic ACO,A1026,2019,NJ,0.77,3631,3243,56,270,101,215,1053,421,292,271,1,12,585,223,11846,4430,6336,0,46.0,74,92.17,84.52,94.49,93.46,81.51,60.3,61.03,75.11,18.52,93.25,88.13,15.05,61.38,1.4,79.12,81.87,61.76,58.93,65.63,71.66,80.06,9.09,17.3,73.88,50330,,,789,2534,789,,42937
"Florida Physicians Trust, LLC",A1027,2021,,6.29,3346,2914,88,368,22,482,840,783,349,323,3,20,700,283,14146,6034,5703,6608541,50.00,68,78.60,,,,,,,,,,,,,,,75.94,89.66,71.74,83.33,81.82,77.38,15.22,9.74,80.15,7965,74.0,*,200,187,200,*,6583
"Florida Physicians Trust, LLC",A1027,2018,FL,12.845050899999999,3349,2993,38,263,62,320,744,794,360,338,1,12,739,279,12715,5958,5669,20029804,42.91,60,0.8582,90.3,93.23,91.48,82.9,57.84,60.22,72.6,31.24,,,15.63,64.88,1.75,80.69,77.4,86.21,71.31,77.45,74.58,88.49,15.15,19.86,78.88,12042,109.0,257,324,500,324,257,9527
"Florida Physicians Trust, LLC",A1027,2022,,6.29,3346,2914,88,368,22,482,840,783,349,323,3,20,700,283,14146,6034,5703,6608541,50.00%,68,78.60,,,,,,,,,,,,,,,75.94,89.66,71.74,83.33,81.82,77.38,15.22,9.74,80.15,7965,74.0,*,200,187,200,*,6583
"Florida Physicians Trust, LLC",A1027,2020,FL,4.01,3649,3269,106,274,35,564,936,867,363,342,3,13,668,300,12886,5615,5182,6802992,0.49,77,97.81,^,^,^,^,^,^,^,^,^,^,~,~,1.09,90.36,81.36,93.44,75.84,83.86,81.18,87.21,20.41,17.35,83.6,13205,119.0,214,393,516,393,214,10768
"Florida Physicians Trust, LLC",A1027,2019,FL,4.82,4166,3665,163,312,65,452,956,965,417,388,4,16,811,329,14174,6576,5686,5907112,47.0,77,94.66,88.18,93.32,92.41,85.23,61.39,63.75,73.4,29.51,91.58,86.73,15.48,64.02,1.82,91.72,81.36,93.94,85.49,83.05,84.12,88.68,41.18,8.66,84.38,17401,,,551,697,551,,13981
"Premier ACO Physicians Network, LLC",A1032,2021,,8.74,3476,3086,93,276,81,618,1439,1117,258,242,2,10,518,215,12303,4274,7129,7798684,40.00,67,72.99,,,,,,,,,,,,,,,70.95,76.92,51,66.35,65.77,79.1,8.33,14.59,76.06,5758,134.0,402,415,299,415,402,4044
"Premier ACO Physicians Network, LLC",A1032,2020,CA,6.94,4106,3516,299,347,99,617,1467,972,288,260,7,13,486,217,10810,4154,5956,6728881,0.39,65,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.61,57.71,54.39,75,46.37,67.85,73.32,74.96,2.33,19.31,71.97,6730,123.0,492,455,523,455,492,4616
"Premier ACO Physicians Network, LLC",A1032,2019,CA,1.7999999999999998,4671,4057,243,311,120,277,1359,847,335,311,5,12,630,252,11630,4884,6376,0,46.0,70,92.17,84.11,95.07,92.43,82.67,58.29,58.51,72.18,22.9,91.87,85.11,16.05,63.68,1.65,75.94,75.25,84.38,65.85,75.57,80.68,75.05,7.69,21.18,71.65,8471,,,753,722,753,,5417
"Premier ACO Physicians Network, LLC",A1032,2018,CA,5.0296935000000005,4206,3611,218,348,91,250,1208,795,327,302,3,13,664,240,11198,4800,6136,5818439,46.339999999999996,61,0.9268,83.19,94.75,92.12,82.96,51.78,59.58,71.11,25.1,,,15.22,58.95,1.79,59.92,60.77,90.91,44.05,54.68,70.28,68.24,2.86,35.31,70.64,8644,138.0,719,757,659,757,719,5637
"Premier ACO Physicians Network, LLC",A1032,2022,,8.74,3476,3086,93,276,81,618,1439,1117,258,242,2,10,518,215,12303,4274,7129,7798684,40.00%,67,72.99,,,,,,,,,,,,,,,70.95,76.92,51,66.35,65.77,79.1,8.33,14.59,76.06,5758,134.0,402,415,299,415,402,4044
"Advocate Physician Partners Accountable Care, Inc.",A1033,2022,,6.48,3103,2833,41,227,36,335,860,594,285,271,1,10,581,230,11260,4533,4910,77619589,50.00%,66,79.22,,,,,,,,,,,,,,,78.79,71.88,86.64,74.88,82.04,91.18,8.93,10.67,81.22,95585,1842.0,2469,1920,2497,1920,2469,76326
"Advocate Physician Partners Accountable Care, Inc.",A1033,2020,IL,6.4,2944,2633,63,240,47,355,766,552,282,266,2,10,518,223,9553,3977,4095,77622055,0.48,59,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.92,85.6,68.62,78.05,82.62,71.88,72.16,88.36,2.7,14.36,78.46,113033,1726.0,2578,2261,4820,2261,2578,91018
"Advocate Physician Partners Accountable Care, Inc.",A1033,2018,IL,2.5041364,3591,3217,70,277,70,351,1043,701,343,321,2,14,646,256,10114,4160,4594,37495888,42.65,85,0.8531,83.8,94.31,92.55,81.91,61.0,64.44,74.82,28.94,,,15.28,66.38,2.03,84.41,67.15,88.1,80.17,69.17,70.46,84.04,0,14.76,78.95,127371,3703.0,2484,2420,4626,2420,2484,103438
"Advocate Physician Partners Accountable Care, Inc.",A1033,2019,IL,3.8699999999999997,3645,3289,64,276,60,372,977,651,339,319,2,13,650,255,10504,4270,4635,30325778,48.0,79,96.88,86.97,94.39,93.7,86.53,63.92,65.26,74.43,27.25,93.68,88.46,15.27,64.27,1.9,90.49,72.47,92.11,82.47,71.88,75.12,88.17,9.52,9.09,80.34,128289,,,2423,5084,2423,,104074
"Advocate Physician Partners Accountable Care, Inc.",A1033,2021,,6.48,3103,2833,41,227,36,335,860,594,285,271,1,10,581,230,11260,4533,4910,77619589,50.00,66,79.22,,,,,,,,,,,,,,,78.79,71.88,86.64,74.88,82.04,91.18,8.93,10.67,81.22,95585,1842.0,2469,1920,2497,1920,2469,76326
"RGV ACO Health Providers, LLC",A1037,2022,,5.94,3548,2640,255,688,17,715,649,785,318,268,9,37,652,225,14495,8066,4618,5099370,75.00%,55,88.33,,,,,,,,,,,,,,,93.63,100,87.61,77.69,77.16,91.68,27.94,9.9,91.65,6607,45.0,*,890,107,890,*,5394
"RGV ACO Health Providers, LLC",A1037,2020,TX,10.32,3043,2397,134,518,20,503,640,699,290,255,6,27,537,207,13228,7593,4146,12728308,0.74,47,99.06,^,^,^,^,^,^,^,^,^,^,~,~,0.58,96.54,92.06,95,87.35,80.03,77.5,94.39,34.86,9.73,90.91,10354,48.0,41,1424,213,1424,41,8542
"RGV ACO Health Providers, LLC",A1037,2018,"TX, NJ",7.1174792,4256,3308,253,709,61,435,878,660,389,338,7,38,730,268,13429,7111,4927,10912641,67.69,57,0.9026,85.88,92.89,90.59,78.03,67.63,64.73,71.85,26.23,,,15.58,56.55,1.62,98.21,94.66,93.33,90.23,82.08,81.38,91.78,17.61,10.85,85.3,11333,62.0,79,1905,307,1905,79,8667
"RGV ACO Health Providers, LLC",A1037,2019,"TX, NJ",9.25,4389,3455,174,747,48,424,797,711,393,343,6,39,735,276,14001,7409,4842,6857825,74.0,60,98.29,86.62,95.59,92.91,78.09,66.17,60.15,71.33,27.95,93.29,85.92,15.15,52.87,1.44,94.89,93.38,93.33,83.9,80.69,80.2,92.9,38.1,7.69,87.33,10533,,,1643,270,1643,,8249
"RGV ACO Health Providers, LLC",A1037,2021,,5.94,3548,2640,255,688,17,715,649,785,318,268,9,37,652,225,14495,8066,4618,5099370,75.00,55,88.33,,,,,,,,,,,,,,,93.63,100,87.61,77.69,77.16,91.68,27.94,9.9,91.65,6607,45.0,*,890,107,890,*,5394
"West Florida ACO, LLC",A1041,2020,FL,9.77,3026,2594,110,341,31,233,619,647,304,280,3,16,525,240,12300,5576,5630,20288220,0.73,50,96.88,^,^,^,^,^,^,^,^,^,^,~,~,0.8,91.58,87.11,89.47,85.22,77.25,75.45,88.51,9.8,11.66,80.69,17553,149.0,266,169,613,169,266,15753
"West Florida ACO, LLC",A1041,2018,FL,8.1079039,3611,3128,113,351,52,321,1038,783,383,355,3,17,707,300,12685,5348,6156,17886860,69.08999999999999,85,0.9212,87.81,93.46,91.04,83.5,61.94,70.35,72.8,27.98,,,15.44,62.68,1.79,88.89,84.69,81.03,86.3,82.47,83.22,85.99,8.33,8.5,79.5,16934,118.0,237,146,486,146,237,15428
"West Florida ACO, LLC",A1041,2021,,6.14,3100,2652,115,352,18,234,802,644,308,284,4,17,590,249,13466,5971,5983,10481639,75.00,67,85.86,,,,,,,,,,,,,,,88.42,86.15,83.28,88.78,84.32,86.46,24.32,9.98,89.26,13722,116.0,226,*,261,*,226,12273
"West Florida ACO, LLC",A1041,2022,,6.14,3100,2652,115,352,18,234,802,644,308,284,4,17,590,249,13466,5971,5983,10481639,75.00%,67,85.86,,,,,,,,,,,,,,,88.42,86.15,83.28,88.78,84.32,86.46,24.32,9.98,89.26,13722,116.0,226,*,261,*,226,12273
"West Florida ACO, LLC",A1041,2019,FL,8.19,3629,3125,114,396,45,323,945,762,379,350,3,19,703,296,13326,5661,6262,9708607,72.0,80,96.5,86.89,92.01,90.49,85.02,63.92,66.52,73.42,22.96,91.92,86.55,15.51,57.05,1.63,92.3,91.31,82.22,86.41,80.23,82.7,88.33,31.25,8.51,82.5,17684,,,154,533,154,,16141
"Coastal Carolina Quality Care, Inc.",A1051,2019,NC,7.8,2989,2813,29,144,15,286,449,296,247,236,1,9,530,179,12570,5570,4308,4897611,49.0,38,98.16,87.31,93.84,94.04,83.46,69.72,62.18,73.86,26.09,94.76,88.31,14.67,51.54,1.46,89.06,86.86,94.12,81.12,88.44,91.16,89.74,20.83,6.81,88.18,11646,,,15,222,15,,9960
"Coastal Carolina Quality Care, Inc.",A1051,2018,NC,5.8758683,2998,2814,30,140,20,228,445,295,262,252,1,8,575,193,11454,4651,4387,7050157,47.73,42,0.9547,87.92,93.92,92.55,83.33,64.52,65.38,75.36,29.93,,,14.76,52.96,1.62,84.69,86.81,93.75,85.42,86.33,91.46,87.39,13.51,7.39,90.68,11569,33.0,27,14,196,14,27,9845
"Coastal Carolina Quality Care, Inc.",A1051,2022,,13.74,2295,2126,*,136,*,313,343,301,193,184,*,8,447,148,11681,4647,4090,16705344,75.00%,29,90.15,,,,,,,,,,,,,,,87.8,92.31,95.55,93.63,94.36,92.89,2.78,4.17,88.25,11049,39.0,34,*,49,*,34,9647
"Coastal Carolina Quality Care, Inc.",A1051,2021,,13.74,2295,2126,*,136,*,313,343,301,193,184,*,8,447,148,11681,4647,4090,16705344,75.00,29,90.15,,,,,,,,,,,,,,,87.8,92.31,95.55,93.63,94.36,92.89,2.78,4.17,88.25,11049,39.0,34,*,49,*,34,9647
"Coastal Carolina Quality Care, Inc.",A1051,2020,NC,9.28,2615,2398,33,181,15,275,380,289,225,213,1,10,427,170,11799,5287,3966,10701474,0.75,31,99.38,^,^,^,^,^,^,^,^,^,^,~,~,0.86,94.9,91.5,100,89.6,91.96,91.92,92.31,25.32,5.07,89.49,11427,34.0,38,14,232,14,38,9817
"Quality Independent Physicians, LLC",A1052,2018,"KY, IN",5.029469000000001,2981,2583,54,299,74,232,796,586,308,283,2,16,653,212,10859,4878,3982,4055095,48.41,79,0.9682999999999999,89.81,95.59,95.17,80.65,66.39,61.36,72.72,28.96,,,14.84,59.12,2.2,90.96,86.54,94.44,84.51,88.04,86.34,91.25,5.08,9.21,80.07,7603,32.0,15,22,197,22,15,6701
"Quality Independent Physicians, LLC",A1052,2022,,1.31,2776,2356,*,363,43,306,834,494,272,248,*,19,635,191,11642,4023,3322,856019,50.00%,63,84.64,,,,,,,,,,,,,,,76.47,87.5,76.68,78.6,73.91,88.42,12.5,9.15,77.35,6191,46.0,15,*,*,*,15,5859
"Quality Independent Physicians, LLC",A1052,2020,"KY, IN",3.6900000000000004,2493,2201,30,212,51,275,805,582,251,234,1,10,589,166,10578,4428,3431,2409334,0.49,64,98.75,^,^,^,^,^,^,^,^,^,^,~,~,1.01,91.28,94,93.1,73.33,87.37,82.35,90.34,2.63,9.52,75.81,6885,35.0,18,12,183,12,18,6150
"Quality Independent Physicians, LLC",A1052,2021,,1.31,2776,2356,*,363,43,306,834,494,272,248,*,19,635,191,11642,4023,3322,856019,50.00,63,84.64,,,,,,,,,,,,,,,76.47,87.5,76.68,78.6,73.91,88.42,12.5,9.15,77.35,6191,46.0,15,*,*,*,15,5859
"Quality Independent Physicians, LLC",A1052,2019,"KY, IN",6.069999999999999,3115,2744,53,278,62,295,810,582,307,283,1,15,664,207,11509,5253,4124,2468910,46.0,77,92.17,93.5,96.55,94.4,83.25,62.12,64.1,74.5,32.73,93.24,88.27,15.42,54.02,2.17,91.1,87.08,84.48,84.43,82.64,78.31,89.92,8.51,9.89,78.43,7302,,,14,215,14,,6405
"Physicians Healthcare Collaborative, LLC",A1058,2018,NC,2.5985971,2533,2399,19,96,28,142,394,355,220,211,0,5,520,148,9790,3014,4055,0,48.6,42,0.9721,85.17,93.05,92.59,81.19,57.65,65.29,73.24,28.47,,,14.79,52.9,1.87,96.1,91.8,80,74.72,85.6,86.45,90.04,0,10.8,76.1,12826,57.0,38,25,315,25,38,10995
"Physicians Healthcare Collaborative, LLC",A1058,2020,NC,7.9,2112,1977,6,111,29,106,279,307,175,167,0,5,378,119,9676,3125,3644,8665726,0.39,27,98.13,^,^,^,^,^,^,^,^,^,^,~,~,0.92,97.79,98.11,86,86.05,89.74,92.79,93.53,25,10.98,77.91,12305,56.0,42,18,345,18,42,10659
"Physicians Healthcare Collaborative, LLC",A1058,2019,NC,6.329999999999999,2522,2367,14,118,35,98,390,332,212,203,0,6,499,144,10234,3349,4006,3869781,49.0,37,97.44,84.24,95.02,92.95,82.85,61.49,69.71,74.89,32.31,94.33,88.66,15.11,50.64,1.57,96.64,96.24,96.49,80.15,90.16,90.15,91.94,30.77,8.43,77.8,12739,,,23,334,23,,10968
"Optimus Healthcare Partners, LLC",A1059,2021,,4.03,3048,2697,45,250,68,234,1156,359,247,231,1,11,509,202,13342,6058,6086,13471461,50.00,71,77.00,,,,,,,,,,,,,,,74.91,54.17,55.1,71.66,73.77,80.28,5.26,14.1,72.58,26879,252.0,1678,830,957,830,1678,20174
"Optimus Healthcare Partners, LLC",A1059,2018,NJ,0.42631220000000003,3421,2991,84,316,90,161,1111,384,275,253,2,13,564,213,12147,5167,6143,0,44.17,75,0.8834000000000001,87.53,93.67,91.81,80.3,66.14,67.28,74.56,26.01,,,14.45,54.92,1.75,68.8,61.34,64.29,69.42,58.17,61.3,74.95,3.85,17.62,74.73,25763,171.0,747,1040,1355,1040,747,19716
"Optimus Healthcare Partners, LLC",A1059,2019,NJ,5.29,3530,3136,109,233,101,293,1350,380,291,270,2,10,593,232,13894,6779,6067,4328273,46.0,85,92.41,91.54,95.77,94.09,84.51,59.43,61.84,76.61,26.97,93.3,85.4,14.55,50.85,1.44,64.81,72.54,69.44,53.3,56.31,66.33,75.32,5.13,15.61,70.61,12654,,,466,869,466,,9142
"Optimus Healthcare Partners, LLC",A1059,2020,NJ,7.06,2635,2373,71,163,56,181,1115,347,232,218,1,8,427,190,12136,5967,5265,10885348,0.39,61,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.84,56.25,76.66,55.56,43.74,62.64,62.68,75.49,10.64,17.91,70.75,14563,118.0,839,632,1027,632,839,10221
"Optimus Healthcare Partners, LLC",A1059,2022,,4.03,3048,2697,45,250,68,234,1156,359,247,231,1,11,509,202,13342,6058,6086,13471461,50.00%,71,77.00,,,,,,,,,,,,,,,74.91,54.17,55.1,71.66,73.77,80.28,5.26,14.1,72.58,26879,252.0,1678,830,957,830,1678,20174
Ascension Care Management Health Partners Tennessee,A1061,2020,TN,3.02,2595,2277,23,231,77,275,708,554,271,251,1,12,519,192,9244,3251,3841,9901310,0.74,52,98.75,^,^,^,^,^,^,^,^,^,^,~,~,1.28,91.53,79.15,70.59,50.41,77.91,77.1,84.28,5.48,9.68,73.05,34019,468.0,175,64,966,64,175,29822
Ascension Care Management Health Partners Tennessee,A1061,2019,TN,3.3300000000000005,2993,2626,44,255,88,267,808,616,312,288,1,13,637,213,10094,3564,4252,5808028,69.0,69,92.17,87.76,94.53,94.01,83.94,61.03,63.14,73.03,28.1,94.1,87.83,15.02,60.53,2.38,92.34,/,85.71,60,71.37,70.56,77.78,10.94,8.06,77.11,33069,,,75,836,75,,29046
Ascension Care Management Health Partners Tennessee,A1061,2018,TN,0.1201484,3011,2664,43,242,84,300,817,675,316,292,1,14,637,214,9549,3289,4254,383772,69.91000000000001,71,0.9321,88.95,96.19,94.65,85.1,55.85,62.56,70.65,26.52,,,15.38,59.61,2.51,91.25,66.39,30.77,44.28,78.09,68.55,79.69,8.33,15.32,72.9,31675,810.0,126,76,710,76,126,27695
Ascension Care Management,A1061,2021,,1.84,2507,2221,37,229,35,162,578,505,239,222,1,12,515,170,10323,3444,4331,7325698,75.00,43,75.47,,,,,,,,,,,,,,,79.24,62.5,58.87,75,68.95,83.12,13.16,11.69,70.56,40537,625.0,212,93,200,93,212,35732
Ascension Care Management,A1061,2022,,1.84,2507,2221,37,229,35,162,578,505,239,222,1,12,515,170,10323,3444,4331,7325698,75.00%,43,75.47,,,,,,,,,,,,,,,79.24,62.5,58.87,75,68.95,83.12,13.16,11.69,70.56,40537,625.0,212,93,200,93,212,35732
Summa Accountable Care Organization,A1063,2020,OH,6.92,2692,2203,112,362,37,188,412,417,280,251,4,20,656,201,8690,3566,3396,11669612,0.48,39,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.89,91.74,71.47,74.07,77.39,70.12,72.78,82.38,13.16,11.29,73.45,18447,240.0,96,21,640,21,96,16474
Summa Accountable Care Organization,A1063,2018,OH,5.3256907,2941,2492,95,317,52,239,543,417,316,287,3,19,795,222,8991,3824,3743,10035092,46.08,52,0.9215000000000001,87.53,94.98,93.06,80.85,61.4,59.57,73.51,26.57,,,14.21,59.22,1.97,82.19,70.03,58.93,76.88,60,70.97,79.78,7.81,13.84,75.99,19532,804.0,82,23,597,23,82,17519
