ACO_ID,ACO_Name,Agree_Type,Agreement_Period_Num,Current_Start_Date,Current_Track,Risk_Model,Assign_Type,SNF_Waiver,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,Prorate_Shared_Losses,EarnSaveLoss,DisAffQual,Met_QPS,Met_30pctl,Met_Incentive,Met_FirstYear,Report_WI,Report_eCQM_CQM,Report_Inc,QualScore,Recvd30p,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,FinalShareRate,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_VA_Only,N_Ben_CBA_Only,N_Ben_CBA_and_VA,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,N_Ben_Race_Unknown,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,SNF_LOS,SNF_PayperStay,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Perc_Dual,Perc_CovDiag,Perc_CovEpisode,Perc_LTI,CAHPS_1,CAHPS_2,CAHPS_3,CAHPS_4,CAHPS_5,CAHPS_6,CAHPS_7,CAHPS_11,CAHPS_9,CAHPS_8,Measure_479,Measure_484,QualityID_318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_134_eCQM,QualityID_134_MIPSCQM,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_001_eCQM,QualityID_001_MIPSCQM,QualityID_236_WI,QualityID_236_eCQM,QualityID_236_MIPSCQM
A1617,"Northern Ohio Medical Specialists, LLC",Renewal,3,07/01/2019,C,Two-Sided,Retrospective,0,8940,5.30%,1.00%,5016924,5016924,"",0,2458293,1,1,1,0,0,1,0,0,92.85%,0,192,10871,10408,94704447,89687523,50.00%,"Low Revenue",76317,8970,16653,8981,90830,9550,15968,9389,98500,8187,17118,9376,86404,10411,20619,9522,10295,1.099,1.074,1.206,1.035,1.066,1.036,1.165,1.046,1.124,0.994,1.16,1.028,1.03,0.9,1.155,1.029,51,736,402,7371,8711,45,445,261,7961,*,8923,*,691,4480,2711,1058,5159,3781,8313,226,*,18,*,50,315,2533,2104,*,355,49,259,767,2992,2973,113,379,291,246,222,*,18,*,614,167,781,209,10238,4126,3827,2273,12,60,28,13098,0,0,0,0,0,0,45,94,83,35,4,5.83%,16.52%,1.94%,2.16%,88.58,95.11,93.67,78.5,70.29,67.26,76.84,28.27,93.61,87.56,0.1375,29.9,87.46,83.66,87.8,86.15,-,-,83.8,88.28,79.68,2.33,7.78,-,-,84.62,-,-
A1622,"Morehouse Choice ACO-ES",Renewal,3,07/01/2019,C,Two-Sided,Retrospective,0,8154,7.08%,0.50%,5802883,5802883,"",0,2843413,1,1,1,0,0,1,0,0,70.63%,1,347,10466,11231,81984059,76181176,50.00%,"Low Revenue",67271,7516,10243,7628,67290,7673,10064,8089,77006,8069,10123,7869,74338,7890,9687,8162,9725,0.933,0.917,0.814,0.979,0.907,0.876,0.78,0.961,0.915,0.881,0.773,0.954,0.876,0.799,0.766,0.905,420,3783,1891,5459,7833,168,1860,1071,4735,*,*,*,2409,3668,1533,544,4760,3394,4498,3222,82,183,*,*,117,2776,2389,66,225,120,166,386,3086,2710,204,411,276,267,241,2,11,12,724,200,592,184,10740,788,3543,1184,5225,30,25,13763,0,117,0,0,0,0,235,204,193,57,0,28.35%,13.31%,2.05%,1.12%,82.73,91.19,90.82,78.7,70.84,64.36,70.1,39.81,91.71,83.56,0.1748,42.03,71.12,51.09,73.12,90.85,-,-,50.25,60.47,83.44,34.88,17.26,-,-,67.12,-,-
A1628,"Integral Healthcare, LLC",Renewal,3,07/01/2019,EN,Two-Sided,Prospective,0,5775,-1.87%,1.50%,-1206172,-1206172,-482469,0,0,1,1,1,0,0,1,0,0,82.79%,0,388,11475,11307,64608776,65814948,75.00%,"Low Revenue",94722,8248,16746,9265,79397,8587,18237,9973,83575,9091,15155,10704,98556,10775,16104,11373,11690,1.027,1.087,1.058,1.176,1.071,1.014,1.136,1.193,1.009,1.019,1.082,1.199,1.162,1.15,1.252,1.401,40,777,293,7042,5630,13,383,193,5042,11,5738,26,413,2455,2126,781,3307,2468,5319,172,*,62,*,65,107,3121,2713,*,358,*,276,688,1431,5398,113,640,320,326,304,*,18,*,649,268,835,263,11656,3416,6368,1764,109,57,26,12967,0,0,0,0,0,0,132,47,105,36,0,6.40%,13.51%,2.16%,0.50%,83.84,90.9,89.82,80.05,62.65,62.35,72.48,21.59,91.09,83.12,0.1652,28.56,97.61,76.6,96.43,81.05,-,-,77.2,78.79,84.57,25,9.66,-,-,83.67,-,-
A1638,"Millennium Accountable Care Organization, LLC",Renewal,3,07/01/2019,EN,Two-Sided,Prospective,1,70501,5.36%,2.00%,46377184,46377184,"",0,34087230,1,1,1,0,0,1,0,0,88.84%,0,350,12508,11754,865151308,818774124,75.00%,"Low Revenue",86306,10024,18006,9996,79914,9773,17655,10119,82832,10239,17569,10772,84135,11303,21420,11573,11837,1.046,1.076,1.036,1.1,1.028,1.071,1.091,1.134,1.064,1.095,1.081,1.186,1.065,1.207,1.218,1.312,124,1792,833,37766,69170,115,2146,1062,65846,61,70132,308,2293,31341,27759,9108,39024,31477,65882,1364,408,419,30,673,1725,2592,2313,59,225,19,270,572,1747,5795,99,572,487,252,236,2,12,2,545,195,970,383,13466,4561,5969,2876,60,50,24,11734,0,0,0,0,0,0,392,160,364,129,0,2.53%,18.00%,1.67%,0.55%,83.63,94.81,93.07,72.46,65.64,62.57,77.21,31.87,90.84,86.37,0.1565,28.46,99.51,81.33,100,91.54,-,-,89.56,89.76,86.6,30.77,4.6,-,-,88.65,-,-
A1652,"Billings Clinic",Renewal,3,07/01/2019,B,One-Sided,Prospective,0,11305,2.27%,2.92%,2914281,0,"",0,0,1,1,1,0,0,1,0,0,84.69%,0,464,11650,10930,128259522,125345240,40.00%,"High Revenue",71793,9995,12647,8924,68814,11232,14072,9717,72153,12973,15634,9813,82640,12142,17111,10665,11385,1.007,1.11,1.065,1.082,1.102,1.119,1.146,1.087,0.997,1.161,1.152,1.08,1.003,1.075,1.13,1.053,27,954,553,8940,11009,53,791,460,9705,13,11270,22,859,5661,3431,1354,6474,4831,10634,26,26,42,205,75,297,2948,2735,61,158,*,380,688,4589,2257,104,169,333,251,240,*,8,*,631,160,647,253,7466,2386,2703,2194,183,43,25,17249,0,0,0,0,1,1,150,563,111,110,0,8.61%,11.75%,1.88%,1.83%,83.83,92.43,90.81,70.66,54.57,61.25,71.99,22.07,94.21,84.1,0.1434,30.88,90.84,94.66,92,88.46,-,-,75.66,80.55,81.07,8.49,8.76,-,-,62.62,-,-
A1675,"HHC ACO Inc",Renewal,3,07/01/2019,EN,Two-Sided,Prospective,0,7623,10.20%,3.28%,10907994,10907994,"",0,8017376,1,1,1,0,0,1,0,0,74.65%,0,661,14426,12710,106926627,96018633,75.00%,"High Revenue",88979,8972,11519,7396,88366,8683,11118,7653,93598,9941,11501,7774,102152,10662,14835,8431,12954,0.959,0.92,0.809,0.976,0.965,0.894,0.823,0.952,0.944,0.874,0.792,0.899,1.007,0.875,0.864,0.917,266,2263,3594,3058,7412,124,1569,2879,2841,0,*,*,1685,3002,2103,833,4534,3089,2419,3134,431,893,24,371,351,4667,3805,225,110,607,139,1713,3689,2574,142,355,164,338,307,4,4,22,945,296,466,149,10712,3305,4930,1300,1178,58,38,26343,0,71,0,6,5,29,1328,3953,708,588,0,56.20%,16.32%,3.76%,4.66%,79.64,86.4,89.61,77.93,65.23,54.85,73.98,19.85,83.37,79.57,0.1685,31.28,83.87,61,73.33,87.1,-,-,69.41,72.82,93.38,24.49,15.51,-,-,72.79,-,-
A1694,"Rainier Health Network",Renewal,3,07/01/2019,E,Two-Sided,Prospective,1,56698,2.23%,1.00%,13602596,13602596,"",0,6665272,1,1,1,0,0,1,0,0,80.94%,0,9,10985,10403,609872151,596269555,50.00%,"High Revenue",81346,9531,13225,9317,84102,9766,13781,9564,87988,9070,13835,9544,84726,9108,12384,10393,10740,1,0.959,0.876,0.988,1.006,0.958,0.911,0.999,0.998,0.928,0.934,1.002,0.982,0.868,0.786,0.994,351,4196,2145,47733,55518,266,2577,1397,51278,82,56371,245,2801,26229,20245,7423,31304,25394,50042,1272,1869,190,224,1592,1509,2699,2567,13,101,32,236,643,3228,3459,96,395,268,195,189,0,4,2,596,148,785,233,9359,3438,3975,1897,49,38,27,16969,2,0,0,0,7,2,571,1714,440,502,0,4.37%,11.56%,1.41%,0.28%,79.7,92.74,91.29,73.86,62.73,57.63,71.65,20.9,93.57,85.74,0.1373,28.84,79.77,75.21,50,61.45,-,-,82.33,81.44,87.79,8.33,11.64,-,-,76.35,-,-
A1702,"American Health Alliance, LLC",Renewal,3,07/01/2019,EN,Two-Sided,Prospective,1,7590,4.10%,2.00%,3802144,3802144,"",0,2794576,1,1,1,0,0,1,0,0,87.56%,0,535,12493,11999,92679703,88877559,75.00%,"Low Revenue",99180,9135,13932,9910,73318,9393,16120,9978,85664,9852,13675,10660,85432,8664,17598,11729,11981,1.04,1.065,1.112,1.193,1.084,1.142,1.248,1.268,1.01,1.13,1.24,1.306,1.011,1.196,1.28,1.429,40,496,268,7423,7418,22,319,205,6872,*,7555,*,344,3073,3115,1058,4420,3170,6791,413,80,*,*,104,130,2896,2558,58,273,9,264,690,1600,5846,117,540,333,310,292,2,15,2,664,255,862,346,14861,6766,5735,2211,149,62,25,12300,0,0,0,0,0,0,38,3,24,3,0,4.51%,15.15%,2.54%,0.43%,86.34,92.25,91.07,77.23,67.19,60.01,75.1,21.4,92.04,85.05,0.1619,26.35,95.5,80.72,100,91.44,-,-,93.58,90.65,79.42,10,9.03,-,-,83.09,-,-
A1722,"Central Florida Physicians Trust",Renewal,3,07/01/2019,E,Two-Sided,Prospective,1,8201,-0.49%,3.18%,-483196,0,"",0,0,1,1,1,0,0,1,0,0,83.36%,0,271,12436,11613,99449030,99932226,50.00%,"Low Revenue",87196,10058,18693,10071,93935,10017,22328,10408,118979,9914,22012,10464,85984,10035,27352,12163,12497,1.065,1.093,1.25,1.122,1.099,0.996,1.149,1.118,1.106,1.059,1.219,1.128,1.122,1.171,1.3,1.178,25,477,226,7413,7997,16,326,146,7509,104,6824,1273,341,3868,2720,1272,4957,3244,7346,406,*,91,*,113,166,3296,2877,55,387,18,505,714,1931,5251,92,656,349,331,308,2,19,2,606,260,914,328,14274,5892,6043,2223,116,59,28,12931,0,0,0,0,0,0,42,8,26,25,0,3.17%,17.86%,2.34%,1.23%,85.71,91.27,89.36,72.38,63.27,58.23,72.28,21.34,89.91,84.93,0.1785,31.65,92.68,81.91,92,90.73,-,-,90.12,90.08,82.84,31.25,7.34,-,-,84.01,-,-
A1736,"Amarillo Legacy Medical ACO",Renewal,3,07/01/2019,E,Two-Sided,Retrospective,1,10490,0.20%,2.97%,226381,0,"",0,0,1,1,1,0,0,1,0,0,78.58%,0,254,10953,10326,112355867,112129485,50.00%,"Low Revenue",64308,9258,12535,8702,56104,9110,12147,9067,68880,10733,13641,9671,72253,10940,16304,10580,10931,0.953,1.069,0.864,0.951,0.911,0.985,0.784,0.96,0.895,1.002,0.875,0.965,0.882,0.906,0.845,0.939,52,492,202,9722,10258,46,315,118,9779,12,10435,43,593,5798,3105,994,5957,4533,9854,136,85,145,21,100,149,2680,2092,59,490,49,151,362,1735,5151,82,580,394,244,213,2,24,4,520,177,861,309,14452,6199,5900,2310,43,41,19,9333,0,0,0,0,0,0,40,22,62,17,0,1.95%,20.29%,1.59%,0.17%,86.87,95.19,94.62,82.55,62.93,68.91,71.86,30.12,91.96,87.47,0.1644,30.22,89.72,70.5,52.38,85.49,-,-,74.12,71.26,80.82,16.13,7.18,-,-,71.7,-,-
A1737,"The Premier HealthCare Network LLC",Renewal,3,07/01/2019,B,One-Sided,Retrospective,0,2434,9.68%,6.05%,2488399,2488399,"",0,975452,1,1,1,0,0,1,0,0,70.63%,1,167,10896,12164,25713715,23225316,40.00%,"Low Revenue",82832,9504,15683,8317,79892,9882,12468,8436,98834,8878,16251,8344,86754,10007,16350,7946,9842,0.999,0.952,1.003,1.009,0.99,0.904,0.908,0.948,1.047,0.953,0.93,0.952,0.939,0.873,0.902,0.908,85,742,328,1971,2360,24,487,187,1662,*,*,*,592,1101,558,183,1274,1160,1082,1257,*,24,*,15,43,2946,2733,*,138,*,267,435,2065,3647,170,404,298,244,233,*,6,*,603,206,563,216,10156,4859,4075,1185,38,30,29,14278,0,0,0,0,0,0,39,33,36,12,0,18.62%,12.00%,2.34%,2.92%,82.33,91.78,87.97,78.12,55.15,55.74,67.76,27.75,89.34,79.53,0.1511,32.52,56.57,70.67,27.27,25.22,-,-,46.19,47.83,80.49,0,36.11,-,-,60.89,-,-
A1749,"HARTFORD HEALTHCARE ACCOUNTABLE CARE ORGANIZATION, INC.",Renewal,3,07/01/2019,B,One-Sided,Prospective,0,26429,2.04%,2.44%,7289983,0,"",0,0,1,1,1,0,0,1,0,0,75.75%,0,22,13932,12339,357674517,350384534,40.00%,"Low Revenue",80208,11807,14896,9836,86625,11304,15743,9973,92534,10790,17209,10721,97373,13314,17952,12338,13648,1,1.034,0.963,1.018,1.019,0.97,0.885,0.99,1.057,0.985,0.899,1.016,1.106,1.007,0.96,1.074,104,1408,1760,9729,25673,158,1868,3279,20369,18,26370,41,2012,10146,9208,5063,15599,10830,23402,1062,392,289,29,308,947,3519,3306,37,101,81,363,1447,3158,4235,204,846,324,287,276,1,4,5,783,240,896,258,11929,3296,5205,3397,31,102,25,14388,0,0,0,0,0,0,546,879,542,504,4,18.66%,20.60%,2.48%,2.78%,82.56,94.5,93.85,75.01,62.34,65.52,73.58,24.56,91.11,85.78,0.1527,34.73,85.34,81.05,53.33,46.44,-,-,80.19,83.09,88.89,10.42,8.95,-,-,80.28,-,-
A1769,"Rio Grande Valley Health Alliance, LLC",Renewal,3,07/01/2019,EN,Two-Sided,Retrospective,1,3933,13.05%,4.49%,6484888,6484888,"",0,4766392,1,1,1,0,0,1,0,0,90.75%,0,498,13031,13699,49705196,43220309,75.00%,"Low Revenue",75195,9689,13292,8730,73571,9851,13141,9147,73663,10622,14011,9119,66331,8982,12702,9778,11331,1.058,1.064,1.086,1.108,1.053,1.134,1.106,1.096,1.009,1.131,1.109,1.098,1.023,1.217,1.208,1.267,217,918,2000,3162,3814,71,445,782,2517,321,2849,763,574,1590,1232,537,2260,1673,3124,*,24,638,*,88,39,3232,2579,81,567,*,356,573,2381,3875,171,707,356,292,257,*,30,*,625,221,602,175,13251,7467,3916,1800,68,40,28,14121,0,0,0,0,0,0,25,0,24,27,0,28.95%,19.58%,1.96%,0.86%,85.2,92.89,91.66,73.88,63.09,55.98,72.82,29.7,89.86,85.3,0.145,25.63,88.69,88.73,100,86.27,-,-,75.85,78.91,78.54,7.69,8.83,-,-,88.93,-,-
A2000,"ProHealth Physicians ACO, LLC",Renewal,3,07/01/2019,B,One-Sided,Retrospective,0,16689,8.83%,2.63%,17385451,17385451,"",0,6815097,1,1,1,0,0,1,0,0,83.26%,0,574,12037,11735,196952181,179566729,40.00%,"Low Revenue",83058,9919,13863,9176,85914,10602,13812,9328,89015,11162,14330,10179,91128,10307,13401,10460,10975,1.02,1.034,1.006,1.037,1.026,1.057,0.979,1.054,1.039,1.044,0.963,1.101,1,0.904,0.89,1.047,90,1944,2369,17822,16362,58,1066,1320,13918,16,16632,41,1398,6955,5660,2676,9156,7533,15141,376,188,*,*,167,700,2695,2543,49,68,45,135,791,2511,4075,148,621,277,222,214,2,3,3,636,181,785,247,10501,3548,4686,2263,5,62,22,13203,0,0,0,0,0,0,253,29,149,86,0,13.10%,20.61%,1.88%,0.25%,79.2,93.77,92.6,73.5,65.47,57.93,76.09,25.78,91.77,86.05,0.1632,29.37,99.02,78.22,62.07,95.82,-,-,90.36,84.13,88.3,8,5.75,-,-,86.63,-,-
A2019,"Lancaster General Health Community Care Collaborative, LLC",Renewal,3,01/01/2020,E,Two-Sided,Retrospective,1,24225,2.12%,2.46%,5326725,0,"",0,0,1,1,1,0,0,1,0,0,89.87%,0,111,10625,10371,250853638,245526913,50.00%,"High Revenue",74823,9198,13213,8921,83358,9863,14936,9050,86132,10010,15661,9448,79401,10902,14888,9918,10399,1.013,0.954,1.02,1.031,1.015,0.974,1.005,1.03,1.076,0.982,1.045,1.047,1.005,1.022,0.99,1.045,157,2282,659,20529,23610,99,1676,570,21265,11,24155,59,2311,11541,7060,3313,13873,10352,22764,328,*,169,*,171,657,2733,2291,25,403,39,286,428,3137,3322,94,316,324,228,206,1,19,3,456,167,778,273,9008,3441,3566,1997,4,40,22,11019,0,0,0,0,1,2,295,688,298,289,0,5.29%,15.66%,1.55%,1.96%,86.75,94.85,94.75,72.94,60.19,61.62,76.72,25.81,94.64,87.58,0.1232,25.22,80.88,80.66,62.86,68.82,-,-,86.69,85.75,75.14,12.86,8,-,-,77.2,-,-
A2021,"Covenant ACO, Inc.",Renewal,3,07/01/2019,E,Two-Sided,Prospective,1,12921,6.72%,1.00%,10918240,10918240,"",0,5349938,1,1,1,0,0,1,0,0,83.28%,0,234,12915,12416,162375076,151456836,50.00%,"Low Revenue",76278,9361,17636,10144,75003,10493,17880,10654,80385,10049,19517,10862,85112,10445,20089,11180,12047,0.982,1.012,1.017,1.068,1.01,1.002,0.937,1.08,0.99,1.009,0.984,1.071,1.039,0.928,0.977,1.047,162,1067,584,11281,12572,104,679,420,11370,27,12717,177,773,6062,4261,1825,7320,5601,11770,289,69,417,11,188,177,2995,2070,131,790,31,608,536,3366,3625,93,734,391,241,194,3,40,3,608,154,685,199,11449,3757,5079,1929,684,45,23,11469,0,0,10,0,2,2,174,276,173,35,0,6.05%,18.41%,1.65%,1.37%,83.63,91.23,92.4,78.15,55.85,57.56,75.8,24.27,91.76,83.27,0.124,22.19,89.01,80.56,63.64,64.08,-,-,70.09,72.87,80.56,17.86,14.81,-,-,67.05,-,-
A2024,"Delaware Valley ACO",Renewal,3,01/01/2020,EN,Two-Sided,Retrospective,0,78520,3.20%,2.00%,29635159,29635159,"",0,21781842,1,1,1,0,0,1,0,0,78.96%,0,42,12083,11800,925350154,895714995,75.00%,"High Revenue",85119,11268,14092,10368,88853,12092,13961,10350,92131,12685,14439,10864,77526,12781,15306,11169,11696,1.016,0.988,0.979,0.992,1.016,1.01,0.983,0.985,1.01,1.018,0.979,0.98,0.968,1.027,1.022,0.999,541,7649,3954,67332,76581,273,5270,3336,67701,90,78169,261,7493,39053,23617,8357,45764,32756,65599,7496,1263,271,15,1015,2861,2903,2628,24,234,42,196,551,2655,4668,92,476,299,256,242,1,10,3,521,202,686,342,10446,3470,5885,1089,3,49,20,11172,0,0,0,0,7,11,1039,2565,860,476,0,7.93%,19.80%,1.90%,1.01%,85.12,94.48,93.73,72.86,60.91,60.08,74.25,28.66,89.49,85.44,0.1633,37.51,95.32,84.09,90.91,66.94,-,-,79.52,88.31,93.36,11.76,10.2,-,-,77.42,-,-
A2029,"Innovation Care Partners MSSP",Renewal,3,01/01/2022,EN,Two-Sided,Retrospective,1,39722,0.14%,0.00%,574258,574258,"",0,422080,1,1,1,0,0,1,0,0,80.51%,0,217,10397,10044,403519746,402945488,75.00%,"High Revenue",85214,9341,13928,9476,78334,9543,11472,8974,89751,10153,13031,9814,66546,11167,12400,10312,10382,0.967,0.9,0.867,0.908,1.02,0.93,0.853,0.923,1.019,0.907,0.798,0.917,0.786,0.94,0.768,0.92,36,1047,404,36872,38813,18,901,438,37455,81,39483,158,2106,21756,12749,3111,22388,17334,36744,538,372,223,77,536,1232,2370,2156,15,196,16,152,315,2288,4972,54,222,239,205,192,0,10,2,473,153,792,366,10854,3237,5819,1786,12,29,20,11246,0,0,0,0,0,0,331,1321,380,290,0,1.74%,15.24%,1.32%,*,77.14,92.34,88.6,74.24,56.29,62.8,74.22,25.58,89.78,85.88,0.1524,30.94,86.97,78.38,100,60,-,-,76.21,78.4,85.02,20.41,9.75,-,-,85.6,-,-
A2032,"North Collaborative Care",Renewal,3,07/01/2019,EN,Two-Sided,Retrospective,1,15131,-0.50%,2.00%,-814301,0,"",0,0,1,1,1,0,0,1,0,0,74.33%,0,78,10956,10661,161952571,162766872,75.00%,"High Revenue",70221,9936,12778,9103,79639,10150,13278,9411,82713,10098,15400,9550,89874,10658,14909,10437,11011,0.961,0.981,0.847,1.002,0.947,0.983,0.938,1.008,0.95,0.987,0.977,0.986,0.93,0.963,0.945,0.971,126,2960,437,9865,14782,80,1863,391,12448,22,15070,39,2302,6976,4003,1850,8371,6760,13936,351,214,50,30,137,413,3040,2909,*,89,39,197,661,2443,4063,66,434,332,246,241,*,3,*,597,186,801,321,8980,3772,2948,2252,8,52,22,12722,0,0,0,0,2,3,328,289,85,193,2,11.62%,18.56%,1.59%,0.09%,80.97,94.21,93.14,73.16,63.58,59.15,72.35,25.95,94.86,86.02,0.1565,37.92,82.77,73.79,50,83.65,-,-,71.92,74.53,86.31,7.14,11.97,-,-,77.61,-,-
A2033,ACMG,Renewal,3,01/01/2020,EN,Two-Sided,Prospective,0,6463,7.73%,0.00%,6354887,6354887,"",0,4670842,1,1,1,0,0,1,0,0,80.64%,0,563,13047,13216,82241501,75886615,75.00%,"Low Revenue",84326,9649,13515,10936,97257,10255,15306,10551,104107,12863,15717,10774,77761,12005,17290,10923,12039,1.042,1.07,0.97,1.167,0.98,1.082,0.998,1.182,1.075,1.075,0.972,1.168,1.057,1.094,1.01,1.167,78,727,1068,5732,6303,36,484,644,5139,83,6286,94,527,2939,2093,904,3977,2486,4884,885,49,415,0,70,160,2844,2396,81,346,45,430,570,2044,5022,98,737,415,282,255,4,17,6,608,221,842,331,13077,5456,5965,1574,82,46,28,13181,0,0,0,0,0,0,111,11,78,23,0,14.94%,18.88%,2.31%,0.91%,84.75,93.27,90.96,76.47,64.62,59.85,74.24,28.66,90.72,85.23,0.1501,25.23,90.42,63.7,63.64,64.54,-,-,73.29,70.32,80.86,10,13.83,-,-,80.68,-,-
A2035,"Midwest Health Coalition ACO",Renewal,3,01/01/2020,B,One-Sided,Retrospective,0,7205,1.83%,3.36%,1307880,0,"",0,0,1,1,1,0,0,1,0,0,88.87%,0,125,10102,10188,71354409,70046529,40.00%,"High Revenue",76037,9317,14839,8811,80829,9827,16684,8938,90449,8864,19936,9302,82575,8554,14916,9557,9917,1.053,1.009,1.075,0.9,1.03,0.964,1.081,0.911,1.033,0.953,1.133,0.916,0.942,0.895,1.08,0.904,52,844,391,10425,7063,28,340,153,6542,20,7166,19,533,4019,2005,648,4058,3147,6738,98,*,59,*,43,222,2295,2061,*,183,*,155,611,2410,3889,67,371,319,205,195,*,6,*,482,145,690,226,10020,5106,3182,1723,9,47,27,13212,0,0,0,0,1,0,77,41,49,39,0,4.72%,14.63%,1.47%,0.96%,88.37,95.17,92.75,80.35,64.53,64.16,75.68,31.7,94.87,86.63,0.1634,29.73,97.4,92.89,100,97.73,-,-,92.88,86.51,97.99,20.69,6.81,-,-,94.82,-,-
A2057,"Privia Quality Network, LLC",Renewal,3,01/01/2020,EN,Two-Sided,Retrospective,1,60854,9.96%,2.00%,60042040,60042040,"",0,44130900,1,1,1,0,0,1,0,0,88.01%,0,301,10127,9571,602819407,542777366,75.00%,"Low Revenue",79596,8921,13164,8417,78120,9151,13742,8711,75179,8427,13548,8373,79938,9075,14167,8743,9118,0.986,0.907,0.917,0.897,0.988,0.931,0.947,0.917,0.978,0.931,0.981,0.923,0.981,0.97,1.01,0.981,438,4525,2649,71850,59527,197,2263,1390,55677,232,60426,196,3839,30722,19718,6575,34716,26138,51252,5172,1081,425,17,889,2018,2081,1888,31,157,19,209,447,2021,3850,83,365,243,182,171,1,8,2,460,140,624,239,10398,4073,4455,1858,12,36,26,12812,0,0,0,0,0,0,791,524,584,310,0,3.77%,17.92%,1.24%,0.70%,83.3,93.11,92.31,70.41,62.73,58.62,75.53,24.06,93.14,84.51,0.142,28.05,93.56,83.95,90,83,-,-,75,77.92,72.06,34.78,6.99,-,-,76.49,-,-
A2067,"Premier Patient Healthcare, LLC",Renewal,3,01/01/2020,E,Two-Sided,Retrospective,0,7227,7.90%,2.00%,5925040,5925040,"",0,2903269,1,1,1,0,0,1,0,0,79.82%,0,571,10630,10373,75021218,69096179,50.00%,"Low Revenue",73657,8514,14912,8992,65743,9125,13063,8789,86665,9635,15974,8675,85075,10710,12840,9451,9791,0.981,0.864,0.867,0.881,1.001,0.93,0.888,0.889,0.928,0.958,0.995,0.908,1.046,0.983,0.912,0.901,42,465,266,8077,7057,20,263,174,6601,46,7109,72,486,3962,2235,544,3898,3329,6384,253,190,58,29,126,187,2895,2056,77,628,33,133,306,1551,4293,89,501,270,240,196,2,29,4,479,161,731,286,10875,5002,4821,1031,20,22,24,14325,0,0,0,0,0,0,46,1,20,5,0,3.61%,17.99%,1.72%,*,87.02,93.12,91.79,83.3,62.95,63.2,75.62,31.06,92.38,86.32,0.1578,31.44,90.59,76.47,84.38,61.9,-,-,73.2,73.56,89.17,11.9,11.08,-,-,85.25,-,-
